Category,Metric,Meaning / Logic,SQL,Verified,Owner
Consigner Exp and Services,% Restricted FS Cx (90 days active),"Aliases: % Restricted FS Cx; FS Restriction Rate.

Avg % of FIELD-SALES customers (active on trips in last 90 days) whose restriction_status is 'RESTRICTED'.","SELECT AVG(daily_pct) FROM (
  SELECT date::date AS day,
         COUNT(DISTINCT CASE WHEN restriction_status = 'RESTRICTED' THEN code END) * 100.0
         / NULLIF(COUNT(DISTINCT code), 0) AS daily_pct
  FROM analytics.fact_consigner_restriction_status a
  JOIN (SELECT DISTINCT consigner_user_code AS code, assigned_sales_team
        FROM fact_consigner_demands_lead_source) b USING (code)
  WHERE assigned_sales_team = 'FIELD SALES'
  GROUP BY 1
);",False,
Consigner Exp and Services,Payment SPOC Adoption,"Aliases: Overview : Payment SPOC; Payment SPOC : DoD/WoW/MoM; % Customers with SPOC.

Of customers with a payment plan, % who have SPOC (Single Point of Contact) details captured. Also split by entry page: Booking Flow / Payment Page / KYC & Payment. Available as snapshot (Overview card) and time series (DoD/WoW/MoM card).","SELECT
  COUNT(DISTINCT consigner_code) AS customer_with_payment_plan,
  COUNT(DISTINCT CASE WHEN email <> '' THEN consigner_code END) AS with_spoc,
  COUNT(DISTINCT CASE WHEN email <> '' AND entry_page = 'demand_price_range'
                      THEN consigner_code END) AS spoc_booking_flow,
  COUNT(DISTINCT CASE WHEN email <> '' AND entry_page = 'payment_page'
                      THEN consigner_code END) AS spoc_payment_page,
  COUNT(DISTINCT CASE WHEN email <> '' AND entry_page = 'Kyc & Payment Page'
                      THEN consigner_code END) AS spoc_kyc_page
FROM payment_spoc_raw;  -- model #44378",False,
Consigner Growth,#Signups,#Consigners who completed signup process(signup success bottomsheet),"SELECT signup_month, COUNT(DISTINCT consigner_user_code)
FROM fact_consigner_demands_lead_source
WHERE cx_segment = 'New'
  AND login_date <= CURRENT_DATE - 60
GROUP BY 1;",True,Ekta
Consigner Growth,%Signup to acquisition,Of signups whose 1st trip happened within specified n-conversion days,"SELECT COUNT(DISTINCT CASE WHEN DATEDIFF(day, login_date, acq_date) <= 29
                           THEN consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT consigner_user_code), 0)
FROM (SELECT consigner_user_code, login_date,
             MAX(CASE WHEN trip_rank = 1 THEN latest_acq_time END)
                 OVER (PARTITION BY consigner_user_code)::date AS acq_date
      FROM fact_consigner_demands_lead_source WHERE cx_segment = 'New')
WHERE login_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Signup to VT,Share of signups who opened a vehicle-type browsing session within specified n-conversion days,"SELECT COUNT(DISTINCT CASE WHEN DATEDIFF(day, f.login_date, v.vt_time) <= 29
                           THEN f.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT f.consigner_user_code), 0)
FROM fact_consigner_demands_lead_source f
LEFT JOIN (SELECT consigner_code,
                  MIN(TIMESTAMP 'epoch' + created / 1000000.0 * INTERVAL '1 second') AS vt_time
           FROM fact_cx_vt_browsing GROUP BY 1) v
       ON v.consigner_code = f.consigner_user_code
WHERE f.cx_segment = 'New' AND f.login_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Signup to Demand,Share of signups who raised any demand within specified n-conversion days,"SELECT COUNT(DISTINCT CASE WHEN DATEDIFF(day, login_date, demand_date) <= 29
                           THEN consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT consigner_user_code), 0)
FROM fact_consigner_demands_lead_source
WHERE cx_segment = 'New' AND login_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Signup to DR,Share of signups who got a confirmed DR within specified n-conversion days,"SELECT COUNT(DISTINCT CASE WHEN DATEDIFF(day, login_date, dr_date) <= 29
                           THEN consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT consigner_user_code), 0)
FROM (SELECT consigner_user_code, login_date,
             MIN(CASE WHEN dr_flag = 1 THEN demand_date END)
                 OVER (PARTITION BY consigner_user_code) AS dr_date
      FROM fact_consigner_demands_lead_source WHERE cx_segment = 'New')
WHERE login_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Signup to Plc,Share of signups who got a placement within specified n-conversion days. Same as DR with plc_flag.,"SELECT COUNT(DISTINCT CASE WHEN DATEDIFF(day, login_date, plc_date) <= 29
                           THEN consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT consigner_user_code), 0)
FROM (SELECT consigner_user_code, login_date,
             MIN(CASE WHEN plc_flag = 1 THEN demand_date END)
                 OVER (PARTITION BY consigner_user_code) AS plc_date
      FROM fact_consigner_demands_lead_source WHERE cx_segment = 'New')
WHERE login_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Acq to 2nd trip,"Of acquired Cxs matured 30 days, the share who took a 2nd trip within specified n-conversion days of the first.","SELECT COUNT(DISTINCT CASE WHEN b.demand_date < a.demand_date + 30
                           THEN a.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT a.consigner_user_code), 0)
FROM fact_consigner_demands_lead_source a
LEFT JOIN fact_consigner_demands_lead_source b
       ON b.consigner_user_code = a.consigner_user_code
      AND b.demand_time > a.demand_time
      AND b.trip_flag = 1 AND b.placement_rank = 2
WHERE a.cx_segment = 'New' AND a.trip_flag = 1
  AND a.demand_date <= CURRENT_DATE - 30;",True,Ekta
Consigner Growth,%Acq to Onboarding,"Same as above, but reaching the 4th trip.","SELECT COUNT(DISTINCT CASE WHEN b.demand_date < a.demand_date + 30
                           THEN a.consigner_user_code END) * 1.0
     / NULLIF(COUNT(DISTINCT a.consigner_user_code), 0)
FROM fact_consigner_demands_lead_source a
LEFT JOIN fact_consigner_demands_lead_source b
       ON b.consigner_user_code = a.consigner_user_code
      AND b.demand_time > a.demand_time
      AND b.trip_flag = 1 AND b.placement_rank = 4
WHERE a.cx_segment = 'New' AND a.trip_flag = 1
  AND a.demand_date <= CURRENT_DATE - 30;",True,Ekta
